cell,variant,mix,load,seed,num_devices,slots,gap_median_s,goodput_per_gpu_hour,served_value_fraction,reserved_idle_fraction,abandonments
A_original,A1_no_budget,0.1,1.0,1,4,16,,28415.5,0.65249,0.933015,0
A_original,A1_no_budget,0.1,1.0,2,4,16,,22934.83,0.772911,0.920509,0
A_original,A1_no_budget,0.1,1.0,3,4,16,,22946.5,0.775185,0.972805,0
A_original,A1_no_budget,0.3,1.0,1,4,16,,27037.33,0.615417,0.918373,0
A_original,A1_no_budget,0.3,1.0,2,4,16,,22845.67,0.763354,0.946061,0
A_original,A1_no_budget,0.3,1.0,3,4,16,,22733.83,0.761279,0.967517,0
A_original,A1_no_budget,0.5,1.0,1,4,16,,25541.33,0.573258,0.977549,0
A_original,A1_no_budget,0.5,1.0,2,4,16,,22640.0,0.744704,0.951354,0
A_original,A1_no_budget,0.5,1.0,3,4,16,,22663.5,0.74682,0.945287,0
A_original,A2_preemptible,0.1,1.0,1,4,16,,28433.67,0.652907,0.933015,64
A_original,A2_preemptible,0.1,1.0,2,4,16,,22945.17,0.773259,0.920509,81
A_original,A2_preemptible,0.1,1.0,3,4,16,,22941.5,0.775016,0.972805,66
A_original,A2_preemptible,0.3,1.0,1,4,16,,27051.33,0.615736,0.918373,59
A_original,A2_preemptible,0.3,1.0,2,4,16,,22834.83,0.762992,0.945214,74
A_original,A2_preemptible,0.3,1.0,3,4,16,,22722.83,0.760911,0.958737,69
A_original,A2_preemptible,0.5,1.0,1,4,16,,25561.83,0.573718,0.977549,52
A_original,A2_preemptible,0.5,1.0,2,4,16,,22622.17,0.744118,0.955957,63
A_original,A2_preemptible,0.5,1.0,3,4,16,,22653.17,0.74648,0.944989,59
A_original,A3_queue_depth,0.1,1.0,1,4,16,,32227.0,0.740011,0.926322,75
A_original,A3_queue_depth,0.1,1.0,2,4,16,,28330.83,0.954757,0.904694,91
A_original,A3_queue_depth,0.1,1.0,3,4,16,,28096.0,0.949146,0.946708,75
A_original,A3_queue_depth,0.3,1.0,1,4,16,,30269.0,0.688976,0.929254,68
A_original,A3_queue_depth,0.3,1.0,2,4,16,,27336.33,0.913403,0.948541,82
A_original,A3_queue_depth,0.3,1.0,3,4,16,,26967.5,0.903051,0.956221,75
A_original,A3_queue_depth,0.5,1.0,1,4,16,,27738.83,0.62258,0.977549,54
A_original,A3_queue_depth,0.5,1.0,2,4,16,,25974.67,0.854392,0.938772,69
A_original,A3_queue_depth,0.5,1.0,3,4,16,,25676.0,0.84609,0.945766,60
A_original,A4_strict,0.1,1.0,1,4,16,,28439.83,0.653049,0.944997,64
A_original,A4_strict,0.1,1.0,2,4,16,,22945.17,0.773259,0.925662,81
A_original,A4_strict,0.1,1.0,3,4,16,,22941.17,0.775005,0.976062,67
A_original,A4_strict,0.3,1.0,1,4,16,,27049.0,0.615683,0.931087,59
A_original,A4_strict,0.3,1.0,2,4,16,,22837.5,0.763081,0.949166,74
A_original,A4_strict,0.3,1.0,3,4,16,,22725.67,0.761006,0.972076,70
A_original,A4_strict,0.5,1.0,1,4,16,,25561.83,0.573718,0.977549,52
A_original,A4_strict,0.5,1.0,2,4,16,,22622.17,0.744118,0.955957,63
A_original,A4_strict,0.5,1.0,3,4,16,,22653.17,0.74648,0.944989,59
A_original,A4_tiered,0.1,1.0,1,4,16,,28433.67,0.652907,0.933015,64
A_original,A4_tiered,0.1,1.0,2,4,16,,22945.17,0.773259,0.920509,81
A_original,A4_tiered,0.1,1.0,3,4,16,,22941.5,0.775016,0.972805,66
A_original,A4_tiered,0.3,1.0,1,4,16,,27051.33,0.615736,0.918373,59
A_original,A4_tiered,0.3,1.0,2,4,16,,22834.83,0.762992,0.945214,74
A_original,A4_tiered,0.3,1.0,3,4,16,,22722.83,0.760911,0.958737,69
